img,link,prod,price,,,,,,
https://m.media-amazon.com/images/I/71tsaBtLtxL._AC_UL320_ML3_.jpg,https://www.amazon.in/Vim-Anti-Smell-Bar-Pack/dp/B071LGVNJ2/ref=sr_1_1?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-1&srs=9574332031,Vim Anti Smell Bar - 200 g (Pack of 3),52,,,,,,
https://m.media-amazon.com/images/I/514HorCFh2L._AC_UL320_ML3_.jpg,https://www.amazon.in/Harpic-Bathroom-Cleaner-Lemon/dp/B01MR27ZY6/ref=sr_1_2?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-2&srs=9574332031,Harpic Bathroom Cleaner Lemon - 1 L,141,,,,,,
https://m.media-amazon.com/images/I/71puz2cZKJL._AC_UL320_ML3_.jpg,https://www.amazon.in/Sanifresh-Toilet-Cleaner-Odonil-Freshener/dp/B01CJUIPWS/ref=sr_1_3?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-3&srs=9574332031,Sanifresh Ultrashine 1L ( 500 + 500) Toilet Cleaner -1.5X Extra Strong Extra Clean with Odonil Room Freshner Blocks 50 g Free,107,,,,,,
https://m.media-amazon.com/images/I/71EWxBb2xtL._AC_UL320_ML3_.jpg,https://www.amazon.in/Godrej-Aer-Pocket-30-Pack/dp/B01NCBHR4M/ref=sr_1_4?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-4&srs=9574332031,"Godrej aer Pocket, Bathroom Air Fragrance - Assorted Pack of 3 (3x10g)",136,,,,,,
https://m.media-amazon.com/images/I/61Z1gGn7wcL._AC_UL320_ML3_.jpg,https://www.amazon.in/Colgate-ZigZag-Toothbrush-Medium-B2G1/dp/B01CJULE94/ref=sr_1_5?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-5&srs=9574332031,Colgate ZigZag Toothbrush - Medium (Buy 2 Get 1),59,,,,,,
https://m.media-amazon.com/images/I/616eR+sFMML._AC_UL320_ML3_.jpg,https://www.amazon.in/Dettol-Liquid-Handwash-750-ml/dp/B06XKRW9JH/ref=sr_1_6?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-6&srs=9574332031,Dettol Liquid Handwash Skincare - 750 ml,108,,,,,,
https://m.media-amazon.com/images/I/51EH8CoYSSL._AC_UL320_ML3_.jpg,https://www.amazon.in/Dabur-Meswak-Toothpaste-200-g/dp/B01CJUGBN8/ref=sr_1_7?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-7&srs=9574332031,Dabur Meswak: India?? No-1 Fluoride Free Toothpaste | Herbal paste made from pure extract of rare Miswak herb -200 g,82,,,,,,
https://m.media-amazon.com/images/I/61zoEOzkUCL._AC_UL320_ML3_.jpg,https://www.amazon.in/Surf-Excel-Matic-Detergent-Powder/dp/B01CJVVLUA/ref=sr_1_8?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-8&srs=9574332031,"Surf Excel Matic Front Load Detergent Powder, 2 kg",390,,,,,,
https://m.media-amazon.com/images/I/61SacrIvdEL._AC_UL320_ML3_.jpg,https://www.amazon.in/Tata-Salt-1kg/dp/B01HBF5WBI/ref=sr_1_9?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-9&srs=9574332031,"Tata Salt, 1kg",19,,,,,,
https://m.media-amazon.com/images/I/71i3r+ukCrL._AC_UL320_ML3_.jpg,https://www.amazon.in/Aashirvaad-Salt-Iodised-Bag/dp/B01CHVJ0IW/ref=sr_1_10?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-10&srs=9574332031,"Aashirvaad Salt - Iodised, 1kg Bag",18,,,,,,
https://m.media-amazon.com/images/I/614vCTbxX6L._AC_UL320_ML3_.jpg,https://www.amazon.in/Gemini-Refined-Sunflower-Oil-Pouch/dp/B06ZYSCP9L/ref=sr_1_11?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-11&srs=9574332031,"Gemini Refined Sunflower Oil Pouch, 1L",115,,,,,,
https://m.media-amazon.com/images/I/5164ANuIpsL._AC_UL320_ML3_.jpg,https://www.amazon.in/Sunfeast-Moms-Magic-Cashew-Almonds/dp/B01CHUSV38/ref=sr_1_12?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-12&srs=9574332031,"Sunfeast Mom's Magic Cashew and Almonds, 200g",35,,,,,,
https://m.media-amazon.com/images/I/81ERz5KZ3xL._AC_UL320_ML3_.jpg,https://www.amazon.in/Aashirvaad-Superior-Atta-Bag-10kg/dp/B07228KR7G/ref=sr_1_13?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-13&srs=9574332031,"Aashirvaad Superior MP Atta Bag, 10kg",420,,,,,,
https://m.media-amazon.com/images/I/91oNY+gNzPL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Peanuts-Pink/dp/B07KZ6LS5Z/ref=sr_1_14?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-14&srs=9574332031,"Amazon Brand - Vedaka Raw Peanuts, Pink, 1kg",156,,,,,,
,,,,,,,,,
https://m.media-amazon.com/images/I/91yq6aNRDvL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Arhar/dp/B079NP4MC9/ref=sr_1_16?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-16&srs=9574332031,"Amazon Brand - Vedaka Popular Toor Dal, 1kg",114,,,,,,
https://m.media-amazon.com/images/I/51iatO8hXjL._AC_UL320_ML3_.jpg,https://www.amazon.in/Lizol-Disinfectant-Surface-Cleaner-Citrus/dp/B01H4UJJW8/ref=sr_1_17?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-17&srs=9574332031,Lizol Disinfectant Surface Cleaner Citrus 975ml,176,,,,,,
https://m.media-amazon.com/images/I/81-FHxtJlNL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Yellow/dp/B079N8SHCV/ref=sr_1_18?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-18&srs=9574332031,"Amazon Brand - Vedaka Popular Moong Dal (Yellow), 1 kg",140,,,,,,
https://m.media-amazon.com/images/I/61MRDlPoxuL._AC_UL320_ML3_.jpg,https://www.amazon.in/Surf-Excel-Easy-Detergent-Powder/dp/B01H4UJAW2/ref=sr_1_19?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-19&srs=9574332031,Surf Excel Easy Wash Detergent Powder - 1.5 kg,167,,,,,,
https://m.media-amazon.com/images/I/71UKFCBnsjL._AC_UL320_ML3_.jpg,https://www.amazon.in/24-Mantra-Organic-Toor-Dal/dp/B01CHUY1KU/ref=sr_1_20?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-20&srs=9574332031,"24 Mantra Organic Tur Dal, 1kg",193,,,,,,
https://m.media-amazon.com/images/I/61XxbJq2nJL._AC_UL320_ML3_.jpg,https://www.amazon.in/Tata-Sampann-Pulses-Toor-Dal/dp/B01HBEQ006/ref=sr_1_21?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-21&srs=9574332031,"Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg",130,,,,,,
https://m.media-amazon.com/images/I/51qPPZqXTyL._AC_UL320_ML3_.jpg,https://www.amazon.in/Dabur-Hajmola-120-Tablet-Anardana/dp/B01CJUZPSU/ref=sr_1_22?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-22&srs=9574332031,"Dabur Hajmola Tablet, Anardana, 120 Tablets",34,,,,,,
https://m.media-amazon.com/images/I/71jXmGsytdL._AC_UL320_ML3_.jpg,https://www.amazon.in/Saffola-Healthy-Lifestyle-Edible-Pouch/dp/B01H5LRNHO/ref=sr_1_23?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-23&srs=9574332031,"Saffola Gold, Pro Healthy Lifestyle Edible Oil Pouch 1 L",149,,,,,,
https://m.media-amazon.com/images/I/61GpTTMi6rL._AC_UL320_ML3_.jpg,https://www.amazon.in/Parachute-Coconut-Oil-Bottle-600ml/dp/B071FB2ZVT/ref=sr_1_24?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-24&srs=9574332031,"Parachute Coconut Oil, 600ml Bottle",250,,,,,,
https://m.media-amazon.com/images/I/71Z-hPqJjrL._AC_UL320_ML3_.jpg,https://www.amazon.in/Tide-Plus-Detergent-Washing-Powder/dp/B079QHPJY9/ref=sr_1_25?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-25&srs=9574332031,"Tide Plus Extra Power Detergent Washing Powder - 2 kg (Lemon and Mint, Rupees 25 Off)",210,,,,,,
https://m.media-amazon.com/images/I/81mXFJddOlL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Sugar/dp/B07G4SCKR3/ref=sr_1_26?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-26&srs=9574332031,"Amazon Brand - Vedaka Popular Sugar, 1kg",49,,,,,,
https://m.media-amazon.com/images/I/81jPZnGILSL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Chana/dp/B079NBG4GR/ref=sr_1_27?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-27&srs=9574332031,"Amazon Brand - Vedaka Popular Chana Dal, 500g",50,,,,,,
https://m.media-amazon.com/images/I/6157ipTtZPL._AC_UL320_ML3_.jpg,https://www.amazon.in/Hommade-Tomato-Puree-200g/dp/B01GCE3Y9Q/ref=sr_1_28?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-28&srs=9574332031,"Dabur Hommade Tomato Puree, 200g",24,,,,,,
https://m.media-amazon.com/images/I/81PRyTyD5uL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Masoor/dp/B079NSMW4M/ref=sr_1_29?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-29&srs=9574332031,"Amazon Brand - Vedaka Popular Red Masoor Dal Split, 1 kg",90,,,,,,
https://m.media-amazon.com/images/I/61cDYAMcuqL._AC_UL320_ML3_.jpg,https://www.amazon.in/Vim-Anti-Smell-Bar-250/dp/B071HW44L7/ref=sr_1_30?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-30&srs=9574332031,Vim Anti Smell Bar - 250 g,19,,,,,,
https://m.media-amazon.com/images/I/71VzUpmm5cL._AC_UL320_ML3_.jpg,https://www.amazon.in/Saffola-Gold-Healthy-Lifestyle-Edible/dp/B01H5LROLO/ref=sr_1_31?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-31&srs=9574332031,"Saffola Gold, Pro Healthy Lifestyle Edible Oil Jar 5 L",725,,,,,,
https://m.media-amazon.com/images/I/71xovPKwjVL._AC_UL320_ML3_.jpg,https://www.amazon.in/Dabur-Red-Ayurvedic-Toothpaste-200/dp/B01CJUGQCY/ref=sr_1_32?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472020&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-32&srs=9574332031,Dabur Red Ayurvedic Paste -200 gm,90,,,,,,
