img,id,,,,,link,price
https://m.media-amazon.com/images/I/611DtwvOuxL._AC_UL320_ML3_.jpg,Comfort After Wash Morning Fresh Fabric Conditioner - 860 ml,,,,,https://www.amazon.in/Comfort-After-Morning-Fabric-Conditioner/dp/B074WCPL2R/ref=sr_1_49?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-49&srs=9574332031,?194
https://m.media-amazon.com/images/I/41dkdzsL+pL._AC_UL320_ML3_.jpg,Society Leaf Tea 1Kg Pouch,,,,,https://www.amazon.in/Society-Tea-Regular-Pouch-1kg/dp/B01N3SBFZ1/ref=sr_1_50?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-50&srs=9574332031,?370
https://m.media-amazon.com/images/I/7102-pdCFAL._AC_UL320_ML3_.jpg,"Kohinoor Super Value Basmati Rice, Blue, 1kg (20% extra)",,,,,https://www.amazon.in/Kohinoor-Super-Value-Basmati-1-2kg/dp/B07NQTJ91J/ref=sr_1_51?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-51&srs=9574332031,?136
https://m.media-amazon.com/images/I/81mXFJddOlL._AC_UL320_ML3_.jpg,"Amazon Brand - Vedaka Popular Sugar, 1kg",,,,,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Sugar/dp/B07G4SCKR3/ref=sr_1_52?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-52&srs=9574332031,?49
https://m.media-amazon.com/images/I/61VGYi4fkzL._AC_UL320_ML3_.jpg,"Kohinoor Super Silver Aged Basmati Rice,5kg",,,,,https://www.amazon.in/Kohinoor-Super-Silver-Aged-Basmati/dp/B07T3DTHWM/ref=sr_1_53?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-53&srs=9574332031,?519
https://m.media-amazon.com/images/I/91NBTd9bU1L._AC_UL320_ML3_.jpg,"Kohinoor Charminar Rozana Rice, 5kg",,,,,https://www.amazon.in/Charminar-Rozana-Basmati-Rice-KG/dp/B01MR82XEF/ref=sr_1_54?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-54&srs=9574332031,?349
https://m.media-amazon.com/images/I/51C8aiAuiIL._AC_UL320_ML3_.jpg,"Fortune Chakki Fresh Atta, 5kg",,,,,https://www.amazon.in/Fortune-Chakki-Fresh-Atta-5kg_BOM3/dp/B07N9CYLJP/ref=sr_1_55?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-55&srs=9574332031,?177
https://m.media-amazon.com/images/I/517cejY4ZNL._AC_UL320_ML3_.jpg,"Kohinoor Mumbai Pav Bhaji Masala, 15g",,,,,https://www.amazon.in/Kohinoor-Mumbai-Pav-Bhaji-Masala/dp/B073VR8T2V/ref=sr_1_56?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-56&srs=9574332031,?12
https://m.media-amazon.com/images/I/61yIdF44GYL._AC_UL320_ML3_.jpg,Colgate Toothpaste Active Salt - 300 g (Natural - Saver Pack),,,,,https://www.amazon.in/Colgate-Active-Salt-Toothpaste-200/dp/B01CJUVBNI/ref=sr_1_57?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-57&srs=9574332031,?131
https://m.media-amazon.com/images/I/61PV3gN0Z+L._AC_UL320_ML3_.jpg,"Sunfeast Farmlite Oats with Chocolate, 150g",,,,,https://www.amazon.in/Sunfeast-Farmlite-Oats-Chocolate-150g/dp/B01IKD2G7S/ref=sr_1_58?dchild=1&fpw=pantry&qid=1587400093&s=pantry&sr=8-58&srs=9574332031,?50
