img,link,prod,price
https://www.bigbasket.com/media/uploads/p/s/40019397_8-bb-popular-sugar.jpg,https://www.bigbasket.com/pd/40019397/bb-popular-sugar-2-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Sugar,100
https://www.bigbasket.com/media/uploads/p/s/241600_5-tata-salt--iodized.jpg,https://www.bigbasket.com/pd/241600/tata-salt-iodized-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,#NAME?,
https://www.bigbasket.com/media/uploads/p/s/10000459_11-bb-royal-sugar.jpg,https://www.bigbasket.com/pd/10000459/bb-royal-sugar-2-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Sugar,110
https://www.bigbasket.com/media/uploads/p/s/214431_6-madhur-sugar-refined.jpg,https://www.bigbasket.com/pd/214431/madhur-sugar-refined-5-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Sugar - Refined,270
https://www.bigbasket.com/media/uploads/p/s/1203569_2-bb-combo-bb-popular-sugar-5-kg-bb-royal-honey-500-gm.jpg,https://www.bigbasket.com/pd/1203569/bb-combo-bb-popular-sugar-5-kg-bb-royal-honey-500-gm-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,BB Popular Sugar 5 kg + BB Royal Honey 500 gm,449
https://www.bigbasket.com/media/uploads/p/s/1200049_2-bb-combo-bb-royal-sona-masoori-raw-rice-10kg-toor-dal-1kg-sugar-1kg.jpg,https://www.bigbasket.com/pd/1200049/bb-combo-bb-royal-sona-masoori-raw-rice-10kg-toor-dal-1kg-sugar-1kg-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,bb Royal Sona Masoori Raw Rice 10kg + Toor Dal 1kg + Sugar 1kg,905
https://www.bigbasket.com/media/uploads/p/s/40075302_11-bb-royal-organic-brown-sugar.jpg,https://www.bigbasket.com/pd/40075302/bb-royal-organic-brown-sugar-panchadara-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Organic - Brown Sugar / Panchadara,119
https://www.bigbasket.com/media/uploads/p/s/1205385_1-bb-royal-idli-sooji-2kg-sugar-2kg-peanuts-mungaphalishengdana-raw-500gm.jpg,https://www.bigbasket.com/pd/1205385/bb-royal-idli-sooji-2kg-sugar-2kg-peanuts-mungaphali-shengdana-raw-500gm-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Idli - Sooji 2kg + Sugar 2kg + Peanuts/ Mungaphali/Shengdana - Raw 500gm,360
https://www.bigbasket.com/media/uploads/p/s/236834_4-aashirvaad-salt-iodised.jpg,https://www.bigbasket.com/pd/236834/aashirvaad-salt-iodised-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Salt - Iodised,
https://www.bigbasket.com/media/uploads/p/s/40017970_2-tata-salt-iodised-crystal-salt.jpg,https://www.bigbasket.com/pd/40017970/tata-salt-iodised-crystal-salt-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Iodised Crystal Salt,
